11182,"W.L.WELLER RESERVE","","175L",20,6,10.50000,10.50000,9900,1,1118,3,1118,11,3,10,90.0,,,"0000","088004025724",192.64,,,,180,,,-3,,171,717,,180,,,3,183,183,7.20,,5427.59,3917.11,22274.44,21529.16,15623.35,15436.80,1000,,,180,,18.00,50217,180,3,1
11184,"W.L.WELLER RESERVE","","1LTR",30,12,12.00000,12.00000,9900,1,1118,3,1118,11,3,10,90.0,,,"0000","088004025731",268.82,,,122,288,,,-41,,74,569,107,192,,,,299,177,5.10,,1733.14,1115.18,12357.88,10452.72,8226.95,7271.04,1000,,,288,,18.00,50217,288,3,1
11185,"W.L.WELLER RESERVE","","750M",40,12,9.00000,9.00000,9900,1,1118,3,1118,11,3,10,90.0,,,"0000","088004025748",215.04,,,,480,,,,,476,1909,,480,,,-19,461,461,19.20,,8415.04,5696.04,32712.14,32158.23,22251.27,22181.92,1000,,,480,,18.00,50217,480,3,1
11187,"Z WL WELLER RES BARREL","","1LTR",30,12,12.00000,12.00000,9900,1,1118,3,1118,11,3,10,90.0,,,"0000","",250.90,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,18.00,81914,,3,1
11188,"Z WL WELLER RES BARREL","","175L",20,6,10.50000,10.50000,9900,1,1118,3,1118,11,3,10,90.0,,,"0000","88004025724",188.16,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,18.00,102315,,3,1
11189,"Z WL WELLER RES BARREL","","750M",40,12,9.00000,9.00000,9900,1,1118,3,1118,11,3,10,90.0,,,"0000","88004025748",206.08,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,18.00,102315,,3,1
11190,"W.L.WELLER 12YR","","750M",40,12,9.00000,9.00000,9900,1,1119,3,1119,11,3,10,90.0,,,"0000","",286.75,,,2,,,,,,,1,3,,,,,3,1,,,,,25.40,,16.21,,1000,,,,,18.00,90216,,3,1
11191,"W.L.WELLER 12YR","","175L",20,6,10.50000,10.50000,9900,1,1119,3,1119,11,3,10,90.0,,,"0000","",237.46,,,,,,,,,,,,,,,,,,.01,,,,,75.00,,28.94,1000,,,,,18.00,90216,,3,1
11193,"W.L.WELLER 107","","175L",20,6,10.50000,10.50000,9900,1,1119,3,1119,11,3,10,107.0,,,"0000","088004025625",206.08,,,,60,,,,,60,120,,,,,,,,.60,,1971.80,1447.90,3916.95,1927.10,2844.61,1396.70,1000,,,,,18.00,40417,,3,1
11194,"W.L.WELLER 107","","1LTR",30,12,12.00000,12.00000,9900,1,1119,3,1119,11,3,10,90.0,,,"0000","",304.69,,,,,,,,,,118,,,,,,,,,,,,2814.62,,2063.55,,1000,,,,,18.00,20317,,3,1
11195,"W.L.WELLER 107","","750M",40,12,9.00000,9.00000,9900,1,1119,3,1119,11,3,10,107.0,,,"0000","",241.93,,,,120,,,,,111,370,,120,,,-6,114,114,4.68,,2189.29,1612.91,7208.47,8802.90,4982.36,6088.32,1000,,,240,,18.00,50217,240,3,1
11196,"Z WL WELLER 107 BARREL","","175L",20,6,10.50000,10.50000,9900,1,1119,3,1119,11,3,10,107.0,,,"0000","",201.61,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,18.00,90316,,3,1
11197,"Z WL WELLER 107 BARREL","","750M",40,12,9.00000,9.00000,9900,1,1119,3,1119,11,3,10,107.0,,,"0000","",232.97,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,18.00,90316,,3,1
11198,"Z WL WELLER 107 BARREL","","1LTR",40,12,12.00000,12.00000,9900,1,1119,3,1119,11,3,10,90.0,,,"0000","",295.71,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,18.00,110115,,3,1
11202,"EAGLE RARE SINGLE BARREL","3 PER CASE","175L",20,3,5.25000,5.25000,9900,1,1120,3,1120,11,3,10,90.0,,,"0000","88004021368",145.58,,,121,,,,32,,123,497,,495,,,,495,374,,,5326.12,3981.92,21499.42,,16089.55,,1000,,,,,18.00,30717,,3,1
11205,"EAGLE RARE SINGLE BARREL","6 PER CASE","750M",40,6,4.50000,4.50000,9900,1,1120,3,1120,11,3,10,90.0,,,"0000","088004021344",165.75,,,1141,1296,,,,1764,673,4247,2284,,,,32,2316,1175,37.51,,17060.29,12365.01,107105.61,95428.90,78030.35,66586.03,1000,,,1134,,18.00,50217,1134,3,1
11206,"EAGLE RARE SINGLE BARREL","12 PER CASE","375M",60,12,4.50000,4.50000,9900,1,1120,3,1120,11,3,10,90.0,,,"0000","088004021351",179.19,,,,,,,,,,204,,,,,,,,5.41,,,,2879.77,7034.55,2058.36,4825.30,1000,,,,,18.00,10517,,3,1
11207,"Z EAGLE RARE BARREL","3 PER CASE","175L",20,3,5.25000,5.25000,9900,1,1120,3,1120,11,3,10,90.0,,,"0000","88004021368",145.58,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,36,,18.00,50217,36,3,1
11208,"Z EAGLE RARE BARREL","6 PER CASE","750M",40,6,4.50000,4.50000,9900,1,1120,3,1120,11,3,10,90.0,,,"0000","88004021344",165.75,,,,,,,-6,-6,,,,,,,,,,4.32,,,,,10325.52,,7668.72,1000,,,252,,18.00,50217,252,3,1
11209,"Z EAGLE RARE BARREL","12 PER CASE","375M",60,12,4.50000,4.50000,9900,1,1120,3,1120,11,3,10,90.0,,,"0000","88004021351",179.19,,,12,,,,,12,,-12,12,,,,,12,,,,,,-154.64,,-121.08,,1000,,,,,18.00,90316,,3,1
11215,"SAZERAC RYE 6 YEAR","6 PER CASE","750M",40,6,4.50000,4.50000,9900,1,1121,11,1121,11,11,10,90.0,,,"0000","088004139940",143.34,,,192,264,,,,,325,1086,511,264,,,7,782,590,10.45,,7416.14,5513.78,24717.23,23809.14,18424.59,15485.31,1000,,,264,,18.00,50217,264,11,1
11225,"EH TAYLOR SMALL BTCH","6 PER CASE","750M",40,6,4.50000,4.50000,9900,1,1122,3,1122,11,3,10,100.0,,,"0000","088004005498",192.64,,,34,,,,15,5,36,844,,840,,,,840,806,11.05,,1127.91,827.28,25676.54,33671.41,19395.12,25392.90,1000,,,,,18.00,30717,,3,1
11226,"EH TAYLOR SINGLE BRL","6 PER CASE","750M",40,6,4.50000,4.50000,9900,1,1122,3,1122,11,3,10,100.0,,,"0000","",295.72,,,94,,,,3,,99,363,,360,,,-2,358,264,3.68,,4466.74,3397.01,16836.67,16960.80,12455.33,12626.84,1000,,,138,,18.00,50217,138,3,1
11227,"EH TAYLOR RYE","6 PER CASE","750M",40,6,4.50000,4.50000,9900,1,1122,11,1122,11,11,10,100.0,,,"0000","",340.54,,,,,,,2,,2,1,,,,,,,,.06,,107.58,77.96,53.62,313.72,38.98,233.88,1000,,,,,18.00,120316,,11,1
11228,"EH TAYLOR BAR PROOF","","750M",40,6,4.50000,4.50000,9900,1,1122,3,1122,11,3,10,127.5,,,"0000","",349.50,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,18.00,60316,,3,1
11229,"EH TAYLOR 4 GRAINS","6 PER CASE","750M",40,6,4.50000,4.50000,9900,1,1122,3,1122,11,3,10,100.0,,,"0000","088004021306",349.47,,,,120,,,-120,,,,,,,,,,,.74,,,,,3994.73,,2923.00,1000,,,,,18.00,40917,,3,1
